Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2023-24,2024-25,2025-26,2026-27,2027-28,Source document,Source table,URL
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.1: Biosecurity and Export Services,Administered Expenses,Enhancing Australia’s Biosecurity System – Priority Pest and Disease Planning and Response,,2558,3034,4034,4034,4534,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.1: Biosecurity and Export Services,Administered Expenses,Indigenous Rangers Biosecurity Program,,0,2052,1148,3300,3433,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.1: Biosecurity and Export Services,Administered Expenses,Live Cattle Trade Disruptions,,643,1092,0,0,0,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.1: Biosecurity and Export Services,Administered Expenses,"Modernising Agricultural Trade – Protecting Australia's Clean, Green Brand",,2055,2000,2000,2000,2000,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.1: Biosecurity and Export Services,Administered Expenses,Priorities for Australia's Biosecurity System – Environmental Protection Officer,,887,825,825,825,825,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.1: Biosecurity and Export Services,Administered Expenses,Reducing Regulatory Burden and Streamlining Audit Arrangements in the Dairy Sector,,3793,2400,0,0,0,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.2: Plant and Animal Health,Administered Expenses,Agriculture 2030 – Biosecurity – continue to protect Australia from the biosecurity risk posed by African swine fever,,294,191,0,0,0,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.2: Plant and Animal Health,Administered Expenses,Animal Biosecurity and Response Reform,,1070,1108,1133,1157,1181,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.2: Plant and Animal Health,Administered Expenses,Bolstering Australia's Biosecurity System – protecting Australia from escalating exotic animal disease risks: Emergency funding to manage the risk of foot-and-mouth disease and lumpy skin disease,,187,0,0,0,0,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.2: Plant and Animal Health,Administered Expenses,Commonwealth Membership of Animal Health Australia and Plant Health Australia,,2518,3018,3085,3154,3220,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.2: Plant and Animal Health,Administered Expenses,International Organisations Contribution – World Organisation for Animal Health,,268,276,280,286,293,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.2: Plant and Animal Health,Administered Expenses,Other Exotic Disease Preparedness Program,,723,740,753,767,783,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.2: Plant and Animal Health,Administered Expenses,Payment to CSIRO – contribution to the operating costs of the Australian Centre for Disease Preparedness,,9186,9507,9717,9931,10139,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.2: Plant and Animal Health,Administered Expenses,Plant Biosecurity and Response Reform,,2045,1563,1600,1635,1670,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.2: Plant and Animal Health,Administered Expenses,"Stronger Farmers, Stronger Economy – strengthening research, skills and management of natural resources – immediate assistance fund",,3531,3912,3997,4086,4172,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.2: Plant and Animal Health,Administered Expenses,"Australian Animal Health Council (Live-stock Industries) Funding Act 1996, s. 5 – appropriation",,8324,8479,8302,8111,7996,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.2: Plant and Animal Health,Administered Expenses,"Plant Health Australia (Plant Industries) Funding Act 2002, s. 6 – appropriation",,7110,5990,5946,6008,6215,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries",Program 2.2: Plant and Animal Health,Administered Expenses,"Plant Health Australia (Plant Industries) Funding Act 2002, s. 10B – payments to PHA from EPPR levies and charges",,2787,2676,2743,2766,2780,2024-25 PBS DAFF.xlsx,Table 2.1 Outcome 2 DAFF,
"Agriculture, Fisheries and Forestry",Fisheries Research and Development Corporation,"Outcome 1: Increased economic, social and environmental benefits for Australian fishing and aquaculture, and the wider community, by investing in knowledge, innovation, and marketing",Program 1.1: Fisheries Research and Development Corporation,Departmental Expenses,"Primary Industries Research and Development Act 1989, s. 30A(3) & s. 30B(9) – Fisheries R&D Corporation",,27913,28621,29254,29920,30757,2024-25 PBS FRDC.xlsx,FRDC Table 2.1,
"Agriculture, Fisheries and Forestry",Fisheries Research and Development Corporation,"Outcome 1: Increased economic, social and environmental benefits for Australian fishing and aquaculture, and the wider community, by investing in knowledge, innovation, and marketing",Program 1.1: Fisheries Research and Development Corporation,Departmental Expenses,Revenues from industry sources,,14190,14663,10508,10925,11287,2024-25 PBS FRDC.xlsx,FRDC Table 2.1,
"Agriculture, Fisheries and Forestry",Fisheries Research and Development Corporation,"Outcome 1: Increased economic, social and environmental benefits for Australian fishing and aquaculture, and the wider community, by investing in knowledge, innovation, and marketing",Program 1.1: Fisheries Research and Development Corporation,Departmental Expenses,Revenues from other sources,,7730,9052,6528,4896,4887,2024-25 PBS FRDC.xlsx,FRDC Table 2.1,
"Agriculture, Fisheries and Forestry",Grains Research and Development Corporation,"Outcome 1: New information and products that enhance the productivity, competitiveness and environmental sustainability of Australian grain growers and benefit the industry and wider community, through planning, managing and implementing investments in grains research and development",Program 1.1: Grains Research and Development Corporation,Departmental Expenses,"Primary Industries Research and Development Act 1989, s. 30(3) – Grains and Wheat R&D Corporation",,130520,108276,81815,76299,77765,2024-25 PBS GRDC.xlsx,GRDC Table 2.1,
"Agriculture, Fisheries and Forestry",Grains Research and Development Corporation,"Outcome 1: New information and products that enhance the productivity, competitiveness and environmental sustainability of Australian grain growers and benefit the industry and wider community, through planning, managing and implementing investments in grains research and development",Program 1.1: Grains Research and Development Corporation,Departmental Expenses,Revenues from industry sources,,193077,134000,136000,139000,141000,2024-25 PBS GRDC.xlsx,GRDC Table 2.1,
"Agriculture, Fisheries and Forestry",Grains Research and Development Corporation,"Outcome 1: New information and products that enhance the productivity, competitiveness and environmental sustainability of Australian grain growers and benefit the industry and wider community, through planning, managing and implementing investments in grains research and development",Program 1.1: Grains Research and Development Corporation,Departmental Expenses,Revenues from other sources,,31731,33368,30057,28668,27666,2024-25 PBS GRDC.xlsx,GRDC Table 2.1,
"Agriculture, Fisheries and Forestry",Grains Research and Development Corporation,"Outcome 1: New information and products that enhance the productivity, competitiveness and environmental sustainability of Australian grain growers and benefit the industry and wider community, through planning, managing and implementing investments in grains research and development",Program 1.1: Grains Research and Development Corporation,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,-81551,16347,45980,51444,50618,2024-25 PBS GRDC.xlsx,GRDC Table 2.1,
"Agriculture, Fisheries and Forestry",Regional Investment Corporation,"Outcome 1: Encourage growth, investment and resilience in Australian farm businesses and rural and regional communities by delivering the Commonwealth's farm business concessional loans",Program 1.1: Regional Investment Corporation,Departmental Expenses,Ordinary annual services (Appropriation Bill No. 1),,23203,22586,23399,19814,19866,2024-25 PBS RIC.xlsx,RIC Table 2.1,
"Agriculture, Fisheries and Forestry",Wine Australia,"Outcome 1: Foster and enable a competitive Australian wine industry by investing in research and development, building markets, disseminating knowledge and ensuring compliance",Program 1.1: Wine Australia,Departmental Expenses,"Wine Australia Act 2013, s. 32 – payments to the Authority",,10090,0,0,0,0,2024-25 PBS WA.xlsx,Wine Australia Table 2.1,
"Agriculture, Fisheries and Forestry",Wine Australia,"Outcome 1: Foster and enable a competitive Australian wine industry by investing in research and development, building markets, disseminating knowledge and ensuring compliance",Program 1.1: Wine Australia,Departmental Expenses,"Wine Australia Act 2013, s. 32 – payments to the Authority",,9015,10788,10788,10788,10788,2024-25 PBS WA.xlsx,Wine Australia Table 2.1,
"Agriculture, Fisheries and Forestry",Wine Australia,"Outcome 1: Foster and enable a competitive Australian wine industry by investing in research and development, building markets, disseminating knowledge and ensuring compliance",Program 1.1: Wine Australia,Departmental Expenses,Revenues from industry sources,,13699,15932,15966,16000,16035,2024-25 PBS WA.xlsx,Wine Australia Table 2.1,
"Agriculture, Fisheries and Forestry",Wine Australia,"Outcome 1: Foster and enable a competitive Australian wine industry by investing in research and development, building markets, disseminating knowledge and ensuring compliance",Program 1.1: Wine Australia,Departmental Expenses,Revenues from other sources,,11042,6300,6063,6045,6114,2024-25 PBS WA.xlsx,Wine Australia Table 2.1,
"Agriculture, Fisheries and Forestry",Australian Fisheries Management Authority,"Outcome 1: Ecologically sustainable and economically efficient Commonwealth fisheries, through understanding and monitoring Australia's marine living resources and regulating and monitoring commercial fishing, including domestic licensing and deterrence of illegal foreign fishing",Program 1.1: Australian Fisheries Management Authority,Administered Expenses,Illegal Foreign Fishing Vessel Caretaking and Disposal,,6031,6265,6401,6548,6552,2024-25 PBS AFMA.xlsx,AFMA Table 2.1,
"Agriculture, Fisheries and Forestry",Australian Fisheries Management Authority,"Outcome 1: Ecologically sustainable and economically efficient Commonwealth fisheries, through understanding and monitoring Australia's marine living resources and regulating and monitoring commercial fishing, including domestic licensing and deterrence of illegal foreign fishing",Program 1.1: Australian Fisheries Management Authority,Departmental Expenses,Departmental appropriation,,26910,27741,22565,23111,22765,2024-25 PBS AFMA.xlsx,AFMA Table 2.1,
"Agriculture, Fisheries and Forestry",Australian Fisheries Management Authority,"Outcome 1: Ecologically sustainable and economically efficient Commonwealth fisheries, through understanding and monitoring Australia's marine living resources and regulating and monitoring commercial fishing, including domestic licensing and deterrence of illegal foreign fishing",Program 1.1: Australian Fisheries Management Authority,Departmental Expenses,AFMA Special Account,,18191,19712,21033,21360,21694,2024-25 PBS AFMA.xlsx,AFMA Table 2.1,
"Agriculture, Fisheries and Forestry",Australian Fisheries Management Authority,"Outcome 1: Ecologically sustainable and economically efficient Commonwealth fisheries, through understanding and monitoring Australia's marine living resources and regulating and monitoring commercial fishing, including domestic licensing and deterrence of illegal foreign fishing",Program 1.1: Australian Fisheries Management Authority,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,2188,1242,2213,2182,2151,2024-25 PBS AFMA.xlsx,AFMA Table 2.1,
"Agriculture, Fisheries and Forestry",Rural Industries Research and Development Corporation,"Outcome 1: Growth in the long-term prosperity of Australian rural industries by investing, through partnerships with industry, in research, development, extension, and commercialisation that fosters sustainable and profitable existing and emerging rural industries, and cross sector opportunities and challenges",Program 1.1: Rural Industries Research and Development Corporation,Departmental Expenses,Payment from related entities,,10085,10435,10665,10900,11129,2024-25 PBS AGRIFUTURES.xlsx,AgriFutures Table 2.1,
"Agriculture, Fisheries and Forestry",Rural Industries Research and Development Corporation,"Outcome 1: Growth in the long-term prosperity of Australian rural industries by investing, through partnerships with industry, in research, development, extension, and commercialisation that fosters sustainable and profitable existing and emerging rural industries, and cross sector opportunities and challenges",Program 1.1: Rural Industries Research and Development Corporation,Departmental Expenses,"Primary Industries Research and Development Act 1989, s. 30(3) – Rural Industries R&D Corporation",,27000,26500,27000,27500,28000,2024-25 PBS AGRIFUTURES.xlsx,AgriFutures Table 2.1,
"Agriculture, Fisheries and Forestry",Rural Industries Research and Development Corporation,"Outcome 1: Growth in the long-term prosperity of Australian rural industries by investing, through partnerships with industry, in research, development, extension, and commercialisation that fosters sustainable and profitable existing and emerging rural industries, and cross sector opportunities and challenges",Program 1.1: Rural Industries Research and Development Corporation,Departmental Expenses,Revenues from industry sources,,6262,6715,6115,5515,5515,2024-25 PBS AGRIFUTURES.xlsx,AgriFutures Table 2.1,
"Agriculture, Fisheries and Forestry",Rural Industries Research and Development Corporation,"Outcome 1: Growth in the long-term prosperity of Australian rural industries by investing, through partnerships with industry, in research, development, extension, and commercialisation that fosters sustainable and profitable existing and emerging rural industries, and cross sector opportunities and challenges",Program 1.1: Rural Industries Research and Development Corporation,Departmental Expenses,Revenues from other sources,,12046,11083,10683,10174,9571,2024-25 PBS AGRIFUTURES.xlsx,AgriFutures Table 2.1,
"Agriculture, Fisheries and Forestry",Rural Industries Research and Development Corporation,"Outcome 1: Growth in the long-term prosperity of Australian rural industries by investing, through partnerships with industry, in research, development, extension, and commercialisation that fosters sustainable and profitable existing and emerging rural industries, and cross sector opportunities and challenges",Program 1.1: Rural Industries Research and Development Corporation,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,6000,6000,6000,6000,5200,2024-25 PBS AGRIFUTURES.xlsx,AgriFutures Table 2.1,
"Agriculture, Fisheries and Forestry",Australian Pesticides and Veterinary Medicines Authority,"Outcome 1: Protection of the health and safety of people, animals, the environment, and agricultural and livestock industries through regulation of pesticides and veterinary medicines",Program 1.1: Australian Pesticides and Veterinary Medicines Authority,Departmental Expenses,Ordinary annual services (Appropriation Bill No. 1),,5905,2260,2406,1779,1799,2024-25 PBS APVMA.xlsx,APVMA Table 2.1,
"Agriculture, Fisheries and Forestry",Australian Pesticides and Veterinary Medicines Authority,"Outcome 1: Protection of the health and safety of people, animals, the environment, and agricultural and livestock industries through regulation of pesticides and veterinary medicines",Program 1.1: Australian Pesticides and Veterinary Medicines Authority,Departmental Expenses,Payment from related entities,,147,151,153,157,160,2024-25 PBS APVMA.xlsx,APVMA Table 2.1,
"Agriculture, Fisheries and Forestry",Australian Pesticides and Veterinary Medicines Authority,"Outcome 1: Protection of the health and safety of people, animals, the environment, and agricultural and livestock industries through regulation of pesticides and veterinary medicines",Program 1.1: Australian Pesticides and Veterinary Medicines Authority,Departmental Expenses,"Agricultural and Veterinary Chemicals (Administration) Act 1992, s. 58 (6) – amount payable to the APVMA",,41794,42164,42541,42926,42926,2024-25 PBS APVMA.xlsx,APVMA Table 2.1,
"Agriculture, Fisheries and Forestry",Australian Pesticides and Veterinary Medicines Authority,"Outcome 1: Protection of the health and safety of people, animals, the environment, and agricultural and livestock industries through regulation of pesticides and veterinary medicines",Program 1.1: Australian Pesticides and Veterinary Medicines Authority,Departmental Expenses,Revenues from other sources,,111,150,150,150,150,2024-25 PBS APVMA.xlsx,APVMA Table 2.1,
"Agriculture, Fisheries and Forestry",Australian Pesticides and Veterinary Medicines Authority,"Outcome 1: Protection of the health and safety of people, animals, the environment, and agricultural and livestock industries through regulation of pesticides and veterinary medicines",Program 1.1: Australian Pesticides and Veterinary Medicines Authority,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,-2359,2596,67,18,-30,2024-25 PBS APVMA.xlsx,APVMA Table 2.1,
"Agriculture, Fisheries and Forestry",Cotton Research and Development Corporation,"Outcome 1: Adoption of innovation that leads to increased productivity, competitiveness and environmental sustainability through investment in research and development that benefits the Australian cotton industry and the wider community",Program 1.1: Cotton Research and Development Corporation,Departmental Expenses,"Primary Industries Research and Development Act 1989, s. 30(3) – Cotton R&D Corporation",,11300,9613,7570,7127,10111,2024-25 PBS CRDC.xlsx,CRDC Table 2.1,
"Agriculture, Fisheries and Forestry",Cotton Research and Development Corporation,"Outcome 1: Adoption of innovation that leads to increased productivity, competitiveness and environmental sustainability through investment in research and development that benefits the Australian cotton industry and the wider community",Program 1.1: Cotton Research and Development Corporation,Departmental Expenses,Industry contribution,,11301,9614,7569,7127,10111,2024-25 PBS CRDC.xlsx,CRDC Table 2.1,
"Agriculture, Fisheries and Forestry",Cotton Research and Development Corporation,"Outcome 1: Adoption of innovation that leads to increased productivity, competitiveness and environmental sustainability through investment in research and development that benefits the Australian cotton industry and the wider community",Program 1.1: Cotton Research and Development Corporation,Departmental Expenses,Revenues from other sources,,3602,6275,5775,5775,5775,2024-25 PBS CRDC.xlsx,CRDC Table 2.1,
"Agriculture, Fisheries and Forestry",Cotton Research and Development Corporation,"Outcome 1: Adoption of innovation that leads to increased productivity, competitiveness and environmental sustainability through investment in research and development that benefits the Australian cotton industry and the wider community",Program 1.1: Cotton Research and Development Corporation,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,-3636,6631,7014,6229,-1941,2024-25 PBS CRDC.xlsx,CRDC Table 2.1,
"Climate Change, Energy, the Environment and Water",Clean Energy Regulator,"Outcome 1: Contribute to a reduction in Australia's net greenhouse gas emissions, including through the administration of market based mechanisms that incentivise reduction in emissions and the promotion of additional renewable electricity generation",Program 1.1: Clean Energy Regulator,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),,324279,269947,226638,241523,250263,2024-25 PB Statement - CER.xlsx,Table 2.1.1,
"Climate Change, Energy, the Environment and Water",Clean Energy Regulator,"Outcome 1: Contribute to a reduction in Australia's net greenhouse gas emissions, including through the administration of market based mechanisms that incentivise reduction in emissions and the promotion of additional renewable electricity generation",Program 1.1: Clean Energy Regulator,Administered Expenses,Renewable Energy (Electricity) Act 2000,,509,509,509,509,509,2024-25 PB Statement - CER.xlsx,Table 2.1.1,
"Climate Change, Energy, the Environment and Water",Clean Energy Regulator,"Outcome 1: Contribute to a reduction in Australia's net greenhouse gas emissions, including through the administration of market based mechanisms that incentivise reduction in emissions and the promotion of additional renewable electricity generation",Program 1.1: Clean Energy Regulator,Departmental Expenses,Departmental appropriation,,126409,109067,97315,98705,94802,2024-25 PB Statement - CER.xlsx,Table 2.1.1,
"Climate Change, Energy, the Environment and Water",Clean Energy Regulator,"Outcome 1: Contribute to a reduction in Australia's net greenhouse gas emissions, including through the administration of market based mechanisms that incentivise reduction in emissions and the promotion of additional renewable electricity generation",Program 1.1: Clean Energy Regulator,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,1762,1818,1450,1500,1538,2024-25 PB Statement - CER.xlsx,Table 2.1.1,
"Climate Change, Energy, the Environment and Water",Clean Energy Regulator,Outcome 2: Contribute to the sustainable management of Australia's biodiversity through the administration of market based mechanisms that incentivise the preservation and improvement of diverse ecosystems,Program 2.1: Clean Energy Regulator,Departmental Expenses,Departmental appropriation,,6972,6500,7459,0,0,2024-25 PB Statement - CER.xlsx,Table 2.2.1,
"Climate Change, Energy, the Environment and Water",Clean Energy Regulator,Outcome 2: Contribute to the sustainable management of Australia's biodiversity through the administration of market based mechanisms that incentivise the preservation and improvement of diverse ecosystems,Program 2.1: Clean Energy Regulator,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,0,0,0,0,0,2024-25 PB Statement - CER.xlsx,Table 2.2.1,
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water","Outcome 1: Support the transition of Australia's economy to net-zero emissions by 2050; transition energy to support net zero while maintaining security, reliability and affordability; support actions to promote adaptation and strengthen resilience of Australia's economy, society and environment; and take a leadership role internationally in responding to climate change",Program 1.1: Reduce Australia's greenhouse gas emissions,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),,196996,412257,529760,296532,176991,2024-25 PB Statement - DCCEEW.xlsx,T_2.1.1,
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water","Outcome 1: Support the transition of Australia's economy to net-zero emissions by 2050; transition energy to support net zero while maintaining security, reliability and affordability; support actions to promote adaptation and strengthen resilience of Australia's economy, society and environment; and take a leadership role internationally in responding to climate change",Program 1.1: Reduce Australia's greenhouse gas emissions,Administered Expenses,Special appropriations,,0,4472,6700,8031,8298,2024-25 PB Statement - DCCEEW.xlsx,T_2.1.1,
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water","Outcome 1: Support the transition of Australia's economy to net-zero emissions by 2050; transition energy to support net zero while maintaining security, reliability and affordability; support actions to promote adaptation and strengthen resilience of Australia's economy, society and environment; and take a leadership role internationally in responding to climate change","Program 1.2: Support reliable, secure and affordable energy",Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),,457137,412549,222010,100152,25452,2024-25 PB Statement - DCCEEW.xlsx,T_2.1.1,
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water","Outcome 1: Support the transition of Australia's economy to net-zero emissions by 2050; transition energy to support net zero while maintaining security, reliability and affordability; support actions to promote adaptation and strengthen resilience of Australia's economy, society and environment; and take a leadership role internationally in responding to climate change","Program 1.2: Support reliable, secure and affordable energy",Administered Expenses,Special appropriations,,nfp,nfp,nfp,nfp,nfp,2024-25 PB Statement - DCCEEW.xlsx,T_2.1.1,
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water","Outcome 1: Support the transition of Australia's economy to net-zero emissions by 2050; transition energy to support net zero while maintaining security, reliability and affordability; support actions to promote adaptation and strengthen resilience of Australia's economy, society and environment; and take a leadership role internationally in responding to climate change","Program 1.2: Support reliable, secure and affordable energy",Administered Expenses,Payments to corporate entities,,341774,486064,478244,456019,484597,2024-25 PB Statement - DCCEEW.xlsx,T_2.1.1,
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water","Outcome 1: Support the transition of Australia's economy to net-zero emissions by 2050; transition energy to support net zero while maintaining security, reliability and affordability; support actions to promote adaptation and strengthen resilience of Australia's economy, society and environment; and take a leadership role internationally in responding to climate change",Components of Program 1.1: Reduce Australia’s greenhouse gas emissions,Program Component,Australia's International Climate Change Engagement,,0,14734,4538,2113,2113,2024-25 PB Statement - DCCEEW.xlsx,T_2.1.2,
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water","Outcome 1: Support the transition of Australia's economy to net-zero emissions by 2050; transition energy to support net zero while maintaining security, reliability and affordability; support actions to promote adaptation and strengthen resilience of Australia's economy, society and environment; and take a leadership role internationally in responding to climate change",Components of Program 1.1: Reduce Australia’s greenhouse gas emissions,Program Component,Australia's International Climate Step-Up,,3830,1170,1670,1070,370,2024-25 PB Statement - DCCEEW.xlsx,T_2.1.2,
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water","Outcome 1: Support the transition of Australia's economy to net-zero emissions by 2050; transition energy to support net zero while maintaining security, reliability and affordability; support actions to promote adaptation and strengthen resilience of Australia's economy, society and environment; and take a leadership role internationally in responding to climate change",Components of Program 1.1: Reduce Australia’s greenhouse gas emissions,Program Component,"Biofuels - Monitoring, Compliance and Enforcement for Fuel Quality",,100,100,100,100,100,2024-25 PB Statement - DCCEEW.xlsx,T_2.1.2,
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water","Outcome 1: Support the transition of Australia's economy to net-zero emissions by 2050; transition energy to support net zero while maintaining security, reliability and affordability; support actions to promote adaptation and strengthen resilience of Australia's economy, society and environment; and take a leadership role internationally in responding to climate change",Components of Program 1.1: Reduce Australia’s greenhouse gas emissions,Program Component,Carbon Capture Technologies,,12500,37500,15000,10000,20000,2024-25 PB Statement - DCCEEW.xlsx,T_2.1.2,
